         1046202 function calls (1005802 primitive calls) in 0.567 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/cast.py:1166(maybe_infer_to_datetimelike)
      400    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_set_output.py:265(_wrap_data_with_container)
     3400    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/_config.py:27(_get_threadlocal_config)
     3600    0.002    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/construction.py:481(ensure_wrapped_if_datetimelike)
     4000    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/construction.py:732(_sanitize_str_dtypes)
      400    0.000    0.000    0.002    0.000 {method 'any' of 'numpy.ndarray' objects}
     3200    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
     2200    0.001    0.000    0.002    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:488(__enter__)
     2000    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1279(is_extension_array_dtype)
      200    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:715(__sklearn_tags__)
      200    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:891(_list_of_dict_to_arrays)
      200    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:170(device)
     4000    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/construction.py:416(extract_array)
      400    0.000    0.000    0.002    0.000 <frozen genericpath>:16(exists)
    24400    0.002    0.000    0.002    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:2775(name)
     5000    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/range.py:999(__len__)
      200    0.002    0.000    0.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    22600    0.002    0.000    0.002    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/copy.py:173(_deepcopy_atomic)
     8400    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
      400    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_set_output.py:230(_get_output_config)
     1200    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1444(_is_dtype_type)
     3600    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1600(<genexpr>)
     3800    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:327(_is_numpy_1d_array)
      800    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/frame.py:1051(shape)
      200    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_metadata_requests.py:174(_raise_for_params)
      200    0.001    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2265(_stack_arrays)
      400    0.000    0.000    0.002    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/_methods.py:55(_any)
     8400    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/enum.py:1145(__new__)
     2200    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2436(any)
     1600    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     2200    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:509(__exit__)
     1600    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/base.py:549(find)
      400    0.001    0.000    0.001    0.000 {built-in method posix.stat}
     1400    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/copy.py:232(_keep_alive)
     2600    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:670(_info_axis)
     2000    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/_config/config.py:676(_translate_key)
     3400    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2023(internal_values)
    11400    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/impute/_base.py:29(_check_inputs_dtype)
      400    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:176(get_annotations)
     1600    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/numeric.py:679(flatnonzero)
     2000    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2196(_grouping_func)
      400    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/_internal.py:280(data_as)
      200    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:6258(__finalize__)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:118(_formatwarnmsg)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:86(_wrapreduction_any_all)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/nanops.py:482(nanany)
      200    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/_asarray.py:22(require)
     8400    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      400    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_dataframe.py:9(is_df_or_series)
     3000    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      200    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:35(_formatwarnmsg_impl)
      600    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1800    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/common/_helpers.py:660(_check_device)
    15600    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:2787(kind)
     6400    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     2400    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      200    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:192(_np2d_to_np1d)
     2200    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1409(_get_dtype)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:246(supported_float_dtypes)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_available_if.py:39(__get__)
      400    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/ctypes/__init__.py:533(cast)
     5600    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      400    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
      200    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/shape_base.py:78(atleast_2d)
      400    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/base.py:437(__getstate__)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/copy.py:192(_deepcopy_list)
     6400    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      200    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:650(_simple_new)
      400    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/_ufunc_config.py:472(__enter__)
     1600    0.001    0.000    0.001    0.000 {method 'update' of 'set' objects}
      200    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:1258(__get_num_preds)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/base.py:82(shape)
     3400    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      400    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/numerictypes.py:372(_preprocess_dtype)
      400    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/frame.py:1115(_values)
     2200    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:2353(<genexpr>)
      400    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_bunch.py:55(__getattr__)
      200    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:5180(_get_engine_target)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/cast.py:1591(construct_1d_object_array_from_listlike)
     6600    0.001    0.000    0.001    0.000 {built-in method _warnings._filters_mutated}
     2200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:897(<genexpr>)
      400    0.000    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:764(unwrap)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:622(get)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:437(repeat)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_available_if.py:27(_check)
      600    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:308(_use_interchange_protocol)
      400    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/numpy/_aliases.py:116(astype)
     1400    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/enum.py:198(__get__)
      200    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:4994(num_feature)
      400    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:917(__len__)
     2000    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     2000    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:884(is_sparse)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:538(is_string_dtype)
     2400    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
     2000    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/flags.py:51(__init__)
     2200    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/warnings.py:462(__init__)
      400    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_bunch.py:36(__getitem__)
     3600    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/api.py:386(default_index)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:1478(_more_tags)
     5200    0.001    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/typing.py:2366(cast)
     1200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_dataframe.py:45(is_pandas_df)
     2000    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1272(is_1d_only_ea_dtype)
      200    0.000    0.000    0.001    0.000 <frozen os>:711(__getitem__)
      200    0.001    0.000    0.001    0.000 {built-in method posix.cpu_count}
      600    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:662(_ensure_no_complex_data)
      400    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_bunch.py:30(__init__)
      600    0.000    0.000    0.001    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/copyreg.py:98(__newobj__)
      200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_metadata_requests.py:160(_routing_enabled)
      600    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/pipeline.py:327(_iter)
     2000    0.001    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/_config/config.py:617(_select_options)
     1200    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:125(<lambda>)
      600    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/base.py:84(<genexpr>)
      800    0.000    0.000    0.001    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/arrays/sparse/accessor.py:248(<genexpr>)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/copy.py:253(<genexpr>)
      800    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:302(isclass)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:154(_single_array_device)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/apply.py:1372(__init__)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/_ufunc_config.py:488(__exit__)
     2000    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/base.py:74(__len__)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1993(nonzero)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1385(_is_dtype)
      600    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:631(get_sorted)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1801(_consolidate_inplace)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_metadata_requests.py:140(_routing_repr)
     2000    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/pipeline.py:997(_can_transform)
      600    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:672(_check_estimator_name)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/inference.py:404(is_dataclass)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:532(treat_as_nested)
     2200    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/range.py:201(_simple_new)
     1000    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:732(__sklearn_is_fitted__)
     2000    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/_config/config.py:649(_get_deprecated_option)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1879(ravel)
      200    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/astype.py:249(astype_is_view)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:710(dtype)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/linecache.py:21(getline)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/inference.py:273(is_dict_like)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/sklearn.py:1171(n_features_in_)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:950(_validate_or_indexify_columns)
     1000    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x10eb28710}
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_set_output.py:190(supported_outputs)
     1800    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1856(__init__)
     2200    0.000    0.000    0.000    0.000 <string>:2(__init__)
      800    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:386(isfunction)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:316(_is_numeric)
     1400    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1783(is_consolidated)
     1800    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/inference.py:306(is_named_tuple)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/_internal.py:263(__init__)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/shape_base.py:214(_vhstack_dispatcher)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:720(_is_extension_array_dtype)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/externals/array_api_compat/numpy/_info.py:194(dtypes)
     2200    0.000    0.000    0.000    0.000 {built-in method math.isnan}
     2600    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:1085(copyto)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2012(dtype)
     1400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:230(_is_numpy_namespace)
     1800    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/threading.py:122(RLock)
     1200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:123(classes)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_dataframe.py:65(is_pyarrow_data)
      200    0.000    0.000    0.000    0.000 <frozen os>:793(encode)
     1800    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_tags.py:132(<lambda>)
      400    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1341(is_ea_or_datetimelike_dtype)
      400    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:515(_c_str)
     1800    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:739(_convert_from_sliced_object)
     1800    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/contextlib.py:444(__init__)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_dataframe.py:25(is_pandas_df_or_series)
     1800    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/contextlib.py:450(__exit__)
      400    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      400    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/dataclasses.py:1331(is_dataclass)
      400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_dataframe.py:86(is_polars_df_or_series)
     1400    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1959(_block)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:918(__array__)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:456(_engine_type)
     2000    0.000    0.000    0.000    0.000 {built-in method sys.audit}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/numpy/_core/shape_base.py:206(_arrays_for_stack_dispatcher)
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_metadata_requests.py:1618(EmptyRequest)
      400    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     1200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/lightgbm/basic.py:304(_safe_call)
      400    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      200    0.000    0.000    0.000    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1791(_consolidate_check)
      600    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
     1800    0.000    0.000    0.000    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/contextlib.py:447(__enter__)
