         1046202 function calls (1005802 primitive calls) in 0.567 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      600    0.002    0.000    0.020    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:2633(_check_feature_names)
      200    0.000    0.000    0.019    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/series.py:4808(apply)
      200    0.000    0.000    0.018    0.000 {built-in method builtins.any}
      200    0.001    0.000    0.018    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:506(nested_data_to_arrays)
     8400    0.010    0.000    0.018    0.000 /Users/mpaga/.local/share/uv/python/cpython-3.13.0-macos-x86_64-none/lib/python3.13/inspect.py:2722(__init__)
     2200    0.001    0.000    0.018    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:894(<genexpr>)
      200    0.000    0.000    0.018    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/apply.py:1404(apply)
     1600    0.001    0.000    0.017    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/generic.py:514(_validate_dtype)
     2000    0.004    0.000    0.017    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/validation.py:681(_pandas_dtype_needs_early_conversion)
      200    0.001    0.000    0.017    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/apply.py:1477(apply_standard)
     1600    0.006    0.000    0.016    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/dtypes/common.py:1606(pandas_dtype)
      200    0.000    0.000    0.016    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:793(to_arrays)
     4400    0.002    0.000    0.016    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:7659(ensure_index)
      200    0.002    0.000    0.014    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:928(_finalize_columns_and_data)
      800    0.001    0.000    0.013    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/impute/_base.py:746(__sklearn_tags__)
      200    0.002    0.000    0.013    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/pandas/core/indexes/base.py:475(__new__)
     1000    0.002    0.000    0.012    0.000 /Users/mpaga/OC/MLOps/mlops_venv/lib/python3.13/site-packages/sklearn/utils/_array_api.py:857(_asarray_with_order)
